2018,2019,2020,2021,2022,2023,2024
ACY,ACY,ACY,ACY,ACY,ACY,ACY
ADK,ADK,ADK,ADK,ADK,ADK,ADK
AEX,AEX,AEX,AEX,AEX,AEX,AEX
AKN,AKN,AKN,AKN,AKN,AKN,AKN
BGR,BGR,BGR,BGR,BGR,BGR,BGR
BIS,BIS,BIS,BIS,BIS,BIS,BIS
DAB,DAB,DAB,DAB,DAB,DAB,BJI
DCA,DCA,DCA,DCA,DCA,DCA,DAB
GFK,GFK,GFK,GFK,ESC,DHN,DCA
HNL,HNL,HNL,HNL,GFK,ESC,EGE
MQT,MQT,MQT,ISN,HNL,GFK,ESC
MSP,MSP,MSP,MQT,ISN,HNL,FCA
ORD,ORD,ORD,MSP,JHM,ISN,GFK
OTZ,OTZ,OTZ,ORD,MQT,MQT,HNL
PDX,PDX,PDX,OTZ,MSP,MSP,ISN
PIH,PIH,PIH,PDX,ORD,ORD,JHM
ROW,PSE,PSE,PIH,OTZ,OTZ,MQT
SBA,ROW,ROW,PSE,PDX,PDX,MSP
SGU,SBA,SBA,ROW,PIH,PIH,ORD
SLN,SGU,SGU,SBA,ROW,ROW,OTZ
XWA,SLN,SLN,SGU,SBA,SBA,PDX
YUM,YUM,YUM,SLN,SGU,SGU,PGV
,,,YUM,SLN,SLN,PIH
,,,,YUM,YUM,ROW
,,,,,,SBA
,,,,,,SGU
,,,,,,SLN
,,,,,,YUM
